Date,Month Year,start of year,qtr No,Qtr,Start Of Month
1-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
2-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
3-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
4-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
5-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
6-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
7-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
8-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
9-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
10-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
11-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
12-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
13-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
14-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
15-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
16-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
17-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
18-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
19-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
20-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
21-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
22-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
23-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
24-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
25-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
26-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
27-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
28-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
29-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
30-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
31-Jan-17,01-17,1/1/2017 0:00,1,Q1,1/1/2017
1-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
2-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
3-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
4-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
5-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
6-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
7-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
8-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
9-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
10-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
11-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
12-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
13-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
14-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
15-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
16-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
17-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
18-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
19-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
20-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
21-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
22-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
23-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
24-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
25-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
26-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
27-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
28-Feb-17,02-17,1/1/2017 0:00,1,Q1,2/1/2017
1-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
2-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
3-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
4-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
5-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
6-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
7-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
8-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
9-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
10-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
11-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
12-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
13-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
14-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
15-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
16-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
17-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
18-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
19-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
20-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
21-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
22-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
23-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
24-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
25-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
26-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
27-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
28-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
29-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
30-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
31-Mar-17,03-17,1/1/2017 0:00,1,Q1,3/1/2017
1-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
2-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
3-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
4-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
5-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
6-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
7-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
8-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
9-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
10-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
11-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
12-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
13-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
14-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
15-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
16-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
17-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
18-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
19-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
20-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
21-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
22-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
23-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
24-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
25-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
26-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
27-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
28-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
29-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
30-Apr-17,04-17,1/1/2017 0:00,2,Q2,4/1/2017
1-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
2-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
3-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
4-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
5-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
6-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
7-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
8-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
9-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
10-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
11-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
12-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
13-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
14-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
15-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
16-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
17-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
18-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
19-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
20-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
21-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
22-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
23-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
24-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
25-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
26-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
27-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
28-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
29-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
30-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
31-May-17,05-17,1/1/2017 0:00,2,Q2,5/1/2017
1-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
2-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
3-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
4-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
5-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
6-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
7-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
8-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
9-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
10-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
11-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
12-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
13-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
14-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
15-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
16-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
17-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
18-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
19-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
20-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
21-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
22-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
23-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
24-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
25-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
26-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
27-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
28-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
29-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
30-Jun-17,06-17,1/1/2017 0:00,2,Q2,6/1/2017
1-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
2-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
3-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
4-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
5-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
6-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
7-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
8-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
9-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
10-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
11-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
12-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
13-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
14-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
15-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
16-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
17-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
18-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
19-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
20-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
21-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
22-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
23-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
24-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
25-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
26-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
27-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
28-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
29-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
30-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
31-Jul-17,07-17,1/1/2017 0:00,3,Q3,7/1/2017
1-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
2-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
3-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
4-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
5-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
6-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
7-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
8-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
9-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
10-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
11-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
12-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
13-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
14-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
15-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
16-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
17-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
18-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
19-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
20-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
21-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
22-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
23-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
24-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
25-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
26-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
27-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
28-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
29-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
30-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
31-Aug-17,08-17,1/1/2017 0:00,3,Q3,8/1/2017
1-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
2-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
3-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
4-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
5-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
6-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
7-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
8-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
9-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
10-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
11-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
12-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
13-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
14-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
15-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
16-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
17-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
18-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
19-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
20-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
21-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
22-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
23-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
24-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
25-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
26-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
27-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
28-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
29-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
30-Sep-17,09-17,1/1/2017 0:00,3,Q3,9/1/2017
1-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
2-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
3-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
4-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
5-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
6-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
7-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
8-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
9-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
10-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
11-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
12-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
13-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
14-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
15-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
16-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
17-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
18-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
19-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
20-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
21-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
22-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
23-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
24-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
25-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
26-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
27-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
28-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
29-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
30-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
31-Oct-17,10-17,1/1/2017 0:00,4,Q4,10/1/2017
1-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
2-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
3-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
4-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
5-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
6-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
7-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
8-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
9-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
10-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
11-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
12-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
13-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
14-Nov-17,11-17,1/1/2017 0:00,4,Q4,11/1/2017
